# payload;# meta;RDF* (bytes);Reification (bytes)
1;0;221;221
1;1;270;379
1;2;315;424
1;3;360;469
1;4;405;514
1;5;450;559
1;6;495;604
1;7;540;649
1;8;585;694
1;9;630;739
1;10;675;784
1;11;722;831
1;12;769;878
1;13;816;925
1;14;863;972
1;15;910;1019
1;16;957;1066
1;17;1004;1113
1;18;1051;1160
1;19;1098;1207
1;20;1145;1254
1;21;1192;1301
1;22;1239;1348
1;23;1286;1395
1;24;1333;1442
1;25;1380;1489
1;26;1427;1536
1;27;1474;1583
1;28;1521;1630
1;29;1568;1677
1;30;1615;1724
